filename,date,time,size_in_bytes
Screenshot 2024-09-12 123453.png,2024-09-12,12:34:53,462134
Screenshot 2024-09-12 123529.png,2024-09-12,12:35:29,3763757
Screenshot 2024-09-12 123534.png,2024-09-12,12:35:34,3796031
Screenshot 2024-09-12 123907.png,2024-09-12,12:39:07,3826025
Screenshot 2024-09-12 123916.png,2024-09-12,12:39:16,3891708
Screenshot 2024-09-12 123920.png,2024-09-12,12:39:20,3850992
Screenshot 2024-09-12 124508.png,2024-09-12,12:45:08,3778546
Screenshot 2024-09-12 124513.png,2024-09-12,12:45:13,3792577
Screenshot 2024-09-12 124525.png,2024-09-12,12:45:25,3797965
Screenshot 2024-09-12 124530.png,2024-09-12,12:45:30,3809377
Screenshot 2024-09-12 124844.png,2024-09-12,12:48:44,3716843
Screenshot 2024-09-12 125024.png,2024-09-12,12:50:24,3562656
Screenshot 2024-09-12 130045.png,2024-09-12,13:00:45,3864808
Screenshot 2024-09-12 130050.png,2024-09-12,13:00:50,3909138
Screenshot 2024-09-12 130631.png,2024-09-12,13:06:31,466772
Screenshot 2024-09-12 130636.png,2024-09-12,13:06:36,468206
Screenshot 2024-09-12 130640.png,2024-09-12,13:06:40,464316
Screenshot 2024-09-12 130645.png,2024-09-12,13:06:45,465885
Screenshot 2024-09-12 130825.png,2024-09-12,13:08:25,469515
Screenshot 2024-09-12 130831.png,2024-09-12,13:08:31,3742444
Screenshot 2024-09-12 131412.png,2024-09-12,13:14:12,3787402
Screenshot 2024-09-12 132527.png,2024-09-12,13:25:27,478072
Screenshot 2024-09-12 132531.png,2024-09-12,13:25:31,3821735
Screenshot 2024-09-12 132824.png,2024-09-12,13:28:24,3870354
Screenshot 2024-09-12 132828.png,2024-09-12,13:28:28,3839880
Screenshot 2024-09-12 132840.png,2024-09-12,13:28:40,3893667
Screenshot 2024-09-12 132847.png,2024-09-12,13:28:47,3945765
Screenshot 2024-09-12 133002.png,2024-09-12,13:30:02,3924834
Screenshot 2024-09-12 133008.png,2024-09-12,13:30:08,3922214
Screenshot 2024-09-12 134710.png,2024-09-12,13:47:10,471664
Screenshot 2024-09-12 134951.png,2024-09-12,13:49:51,3917171
Screenshot 2024-09-12 135100.png,2024-09-12,13:51:00,3770727
Screenshot 2024-09-12 135105.png,2024-09-12,13:51:05,3772759
Screenshot 2024-09-12 135231.png,2024-09-12,13:52:31,3902400
Screenshot 2024-09-12 135342.png,2024-09-12,13:53:42,3754169
Screenshot 2024-09-12 135349.png,2024-09-12,13:53:49,3672140
Screenshot 2024-09-12 135617.png,2024-09-12,13:56:17,3892644
Screenshot 2024-09-12 135623.png,2024-09-12,13:56:23,3894215
Screenshot 2024-09-12 141530.png,2024-09-12,14:15:30,3769623
Screenshot 2024-09-12 141535.png,2024-09-12,14:15:35,3712069
Screenshot 2024-09-12 141833.png,2024-09-12,14:18:33,3713323
Screenshot 2024-09-12 141841.png,2024-09-12,14:18:41,3704358
Screenshot 2024-09-12 141844.png,2024-09-12,14:18:44,3731854
Screenshot 2024-09-12 141847.png,2024-09-12,14:18:47,3705307
Screenshot 2024-09-12 141900.png,2024-09-12,14:19:00,4176256
Screenshot 2024-09-12 143338.png,2024-09-12,14:33:38,3776296
