filename,date,time,size_in_bytes
Screenshot 2024-09-11 104448.png,2024-09-11,10:44:48,3875624
Screenshot 2024-09-11 110219.png,2024-09-11,11:02:19,3770555
Screenshot 2024-09-11 110224.png,2024-09-11,11:02:24,3808991
Screenshot 2024-09-11 110230.png,2024-09-11,11:02:30,3801286
Screenshot 2024-09-11 110502.png,2024-09-11,11:05:02,3774150
Screenshot 2024-09-11 110506.png,2024-09-11,11:05:06,3708679
Screenshot 2024-09-11 110517.png,2024-09-11,11:05:17,3690136
Screenshot 2024-09-11 110523.png,2024-09-11,11:05:23,3765104
Screenshot 2024-09-11 110546.png,2024-09-11,11:05:46,3681222
Screenshot 2024-09-11 110914.png,2024-09-11,11:09:14,3718677
Screenshot 2024-09-11 110949.png,2024-09-11,11:09:49,3832689
Screenshot 2024-09-11 111018.png,2024-09-11,11:10:18,3695580
Screenshot 2024-09-11 111716.png,2024-09-11,11:17:16,3670701
Screenshot 2024-09-11 111723.png,2024-09-11,11:17:23,3693345
Screenshot 2024-09-11 111728.png,2024-09-11,11:17:28,3721604
Screenshot 2024-09-11 111826.png,2024-09-11,11:18:26,3860829
Screenshot 2024-09-11 111831.png,2024-09-11,11:18:31,3799743
Screenshot 2024-09-11 111836.png,2024-09-11,11:18:36,3782773
Screenshot 2024-09-11 111951.png,2024-09-11,11:19:51,3856166
Screenshot 2024-09-11 112001.png,2024-09-11,11:20:01,3892591
Screenshot 2024-09-11 112241.png,2024-09-11,11:22:41,3855792
Screenshot 2024-09-11 112808.png,2024-09-11,11:28:08,4095685
Screenshot 2024-09-11 112843.png,2024-09-11,11:28:43,3847447
Screenshot 2024-09-11 112903.png,2024-09-11,11:29:03,3910642
Screenshot 2024-09-11 113402.png,2024-09-11,11:34:02,3841903
Screenshot 2024-09-11 113409.png,2024-09-11,11:34:09,3851608
Screenshot 2024-09-11 113513.png,2024-09-11,11:35:13,3926502
Screenshot 2024-09-11 113520.png,2024-09-11,11:35:20,3912599
Screenshot 2024-09-11 114118.png,2024-09-11,11:41:18,3747643
Screenshot 2024-09-11 114127.png,2024-09-11,11:41:27,3840184
Screenshot 2024-09-11 114150.png,2024-09-11,11:41:50,3855031
Screenshot 2024-09-11 114713.png,2024-09-11,11:47:13,3774668
Screenshot 2024-09-11 114720.png,2024-09-11,11:47:20,3785032
Screenshot 2024-09-11 115108.png,2024-09-11,11:51:08,3539147
Screenshot 2024-09-11 115113.png,2024-09-11,11:51:13,3725639
Screenshot 2024-09-11 115600.png,2024-09-11,11:56:00,3736039
Screenshot 2024-09-11 115629.png,2024-09-11,11:56:29,3767217
Screenshot 2024-09-11 115636.png,2024-09-11,11:56:36,3791855
Screenshot 2024-09-11 115648.png,2024-09-11,11:56:48,3673439
Screenshot 2024-09-11 115657.png,2024-09-11,11:56:57,3600792
Screenshot 2024-09-11 115704.png,2024-09-11,11:57:04,3702526
Screenshot 2024-09-11 115746.png,2024-09-11,11:57:46,3732558
Screenshot 2024-09-11 115835.png,2024-09-11,11:58:35,3769819
Screenshot 2024-09-11 120008.png,2024-09-11,12:00:08,3857142
Screenshot 2024-09-11 120039.png,2024-09-11,12:00:39,3799565
Screenshot 2024-09-11 120121.png,2024-09-11,12:01:21,3940148
Screenshot 2024-09-11 120126.png,2024-09-11,12:01:26,3939033
Screenshot 2024-09-11 120141.png,2024-09-11,12:01:41,3805189
Screenshot 2024-09-11 120459.png,2024-09-11,12:04:59,3847183
Screenshot 2024-09-11 120515.png,2024-09-11,12:05:15,3789710
Screenshot 2024-09-11 120745.png,2024-09-11,12:07:45,3985245
Screenshot 2024-09-11 120822.png,2024-09-11,12:08:22,3916285
Screenshot 2024-09-11 120914.png,2024-09-11,12:09:14,3732352
Screenshot 2024-09-11 121058.png,2024-09-11,12:10:58,3666063
Screenshot 2024-09-11 121210.png,2024-09-11,12:12:10,3715521
Screenshot 2024-09-11 121310.png,2024-09-11,12:13:10,3759341
Screenshot 2024-09-11 122047.png,2024-09-11,12:20:47,3736545
Screenshot 2024-09-11 122345.png,2024-09-11,12:23:45,3812311
Screenshot 2024-09-11 122353.png,2024-09-11,12:23:53,3798588
Screenshot 2024-09-11 122441.png,2024-09-11,12:24:41,3753865
Screenshot 2024-09-11 122454.png,2024-09-11,12:24:54,3762840
Screenshot 2024-09-11 122711.png,2024-09-11,12:27:11,3853049
Screenshot 2024-09-11 122716.png,2024-09-11,12:27:16,3890621
Screenshot 2024-09-11 122848.png,2024-09-11,12:28:48,3927489
Screenshot 2024-09-11 122853.png,2024-09-11,12:28:53,3934650
Screenshot 2024-09-11 122923.png,2024-09-11,12:29:23,3871976
Screenshot 2024-09-11 123413.png,2024-09-11,12:34:13,3981183
Screenshot 2024-09-11 123437.png,2024-09-11,12:34:37,3996405
Screenshot 2024-09-11 124230.png,2024-09-11,12:42:30,3873520
Screenshot 2024-09-11 124311.png,2024-09-11,12:43:11,3735121
Screenshot 2024-09-11 124733.png,2024-09-11,12:47:33,3798031
Screenshot 2024-09-11 125557.png,2024-09-11,12:55:57,3973129
Screenshot 2024-09-11 125651.png,2024-09-11,12:56:51,3897590
Screenshot 2024-09-11 125708.png,2024-09-11,12:57:08,3922200
Screenshot 2024-09-11 125806.png,2024-09-11,12:58:06,3879350
Screenshot 2024-09-11 125814.png,2024-09-11,12:58:14,3900010
Screenshot 2024-09-11 125823.png,2024-09-11,12:58:23,3862703
Screenshot 2024-09-11 125839.png,2024-09-11,12:58:39,3885339
Screenshot 2024-09-11 125858.png,2024-09-11,12:58:58,3859487
Screenshot 2024-09-11 125905.png,2024-09-11,12:59:05,3866374
Screenshot 2024-09-11 130603.png,2024-09-11,13:06:03,3860050
Screenshot 2024-09-11 130610.png,2024-09-11,13:06:10,3835816
Screenshot 2024-09-11 130630.png,2024-09-11,13:06:30,3760630
Screenshot 2024-09-11 130637.png,2024-09-11,13:06:37,3754251
Screenshot 2024-09-11 130825.png,2024-09-11,13:08:25,3660861
Screenshot 2024-09-11 131612.png,2024-09-11,13:16:12,3749640
Screenshot 2024-09-11 131624.png,2024-09-11,13:16:24,3801506
Screenshot 2024-09-11 132715.png,2024-09-11,13:27:15,3892161
Screenshot 2024-09-11 132735.png,2024-09-11,13:27:35,3835260
Screenshot 2024-09-11 132941.png,2024-09-11,13:29:41,3833919
Screenshot 2024-09-11 133335.png,2024-09-11,13:33:35,3729577
Screenshot 2024-09-11 133424.png,2024-09-11,13:34:24,3693767
Screenshot 2024-09-11 133441.png,2024-09-11,13:34:41,3748451
Screenshot 2024-09-11 133513.png,2024-09-11,13:35:13,3862702
Screenshot 2024-09-11 133608.png,2024-09-11,13:36:08,3825329
Screenshot 2024-09-11 133614.png,2024-09-11,13:36:14,3862631
Screenshot 2024-09-11 133746.png,2024-09-11,13:37:46,3798408
Screenshot 2024-09-11 133842.png,2024-09-11,13:38:42,3864193
Screenshot 2024-09-11 133847.png,2024-09-11,13:38:47,3856828
Screenshot 2024-09-11 133931.png,2024-09-11,13:39:31,3774709
Screenshot 2024-09-11 133950.png,2024-09-11,13:39:50,3757491
Screenshot 2024-09-11 133957.png,2024-09-11,13:39:57,3747140
Screenshot 2024-09-11 134248.png,2024-09-11,13:42:48,3818956
Screenshot 2024-09-11 134544.png,2024-09-11,13:45:44,3863403
Screenshot 2024-09-11 134654.png,2024-09-11,13:46:54,4059801
Screenshot 2024-09-11 134716.png,2024-09-11,13:47:16,3845279
Screenshot 2024-09-11 134834.png,2024-09-11,13:48:34,3830393
Screenshot 2024-09-11 134847.png,2024-09-11,13:48:47,3806474
Screenshot 2024-09-11 134953.png,2024-09-11,13:49:53,3923032
Screenshot 2024-09-11 135004.png,2024-09-11,13:50:04,3906396
Screenshot 2024-09-11 135020.png,2024-09-11,13:50:20,3886615
Screenshot 2024-09-11 135435.png,2024-09-11,13:54:35,3922431
Screenshot 2024-09-11 135453.png,2024-09-11,13:54:53,3830329
Screenshot 2024-09-11 140158.png,2024-09-11,14:01:58,3945939
Screenshot 2024-09-11 140822.png,2024-09-11,14:08:22,3747326
Screenshot 2024-09-11 141123.png,2024-09-11,14:11:23,3898334
Screenshot 2024-09-11 141241.png,2024-09-11,14:12:41,3843924
Screenshot 2024-09-11 141419.png,2024-09-11,14:14:19,3824817
Screenshot 2024-09-11 141749.png,2024-09-11,14:17:49,3945530
Screenshot 2024-09-11 141802.png,2024-09-11,14:18:02,3946103
Screenshot 2024-09-11 141848.png,2024-09-11,14:18:48,3850714
Screenshot 2024-09-11 141919.png,2024-09-11,14:19:19,3935172
Screenshot 2024-09-11 141927.png,2024-09-11,14:19:27,3968446
Screenshot 2024-09-11 142026.png,2024-09-11,14:20:26,3633340
Screenshot 2024-09-11 142034.png,2024-09-11,14:20:34,3659674
Screenshot 2024-09-11 142109.png,2024-09-11,14:21:09,3559622
Screenshot 2024-09-11 142204.png,2024-09-11,14:22:04,3894187
Screenshot 2024-09-11 142225.png,2024-09-11,14:22:25,3797705
Screenshot 2024-09-11 142237.png,2024-09-11,14:22:37,3812459
Screenshot 2024-09-11 142354.png,2024-09-11,14:23:54,3946856
Screenshot 2024-09-11 142454.png,2024-09-11,14:24:54,3752761
Screenshot 2024-09-11 142511.png,2024-09-11,14:25:11,3869556
Screenshot 2024-09-11 142708.png,2024-09-11,14:27:08,3852991
Screenshot 2024-09-11 142805.png,2024-09-11,14:28:05,3806776
Screenshot 2024-09-11 143112.png,2024-09-11,14:31:12,3712387
Screenshot 2024-09-11 143159.png,2024-09-11,14:31:59,3835725
Screenshot 2024-09-11 143325.png,2024-09-11,14:33:25,3880352
Screenshot 2024-09-11 144137.png,2024-09-11,14:41:37,3792451
Screenshot 2024-09-11 144257.png,2024-09-11,14:42:57,3879091
Screenshot 2024-09-11 144311.png,2024-09-11,14:43:11,3912942
Screenshot 2024-09-11 145000.png,2024-09-11,14:50:00,3761285
Screenshot 2024-09-11 145005.png,2024-09-11,14:50:05,3784659
Screenshot 2024-09-11 145010.png,2024-09-11,14:50:10,3790066
Screenshot 2024-09-11 145016.png,2024-09-11,14:50:16,3835573
Screenshot 2024-09-11 145044.png,2024-09-11,14:50:44,3948456
Screenshot 2024-09-11 145050.png,2024-09-11,14:50:50,3998854
Screenshot 2024-09-11 145059.png,2024-09-11,14:50:59,3991597
Screenshot 2024-09-11 145608.png,2024-09-11,14:56:08,3871008
Screenshot 2024-09-11 145629.png,2024-09-11,14:56:29,3851592
Screenshot 2024-09-11 145853.png,2024-09-11,14:58:53,3976414
Screenshot 2024-09-11 150115.png,2024-09-11,15:01:15,3829509
Screenshot 2024-09-11 150502.png,2024-09-11,15:05:02,3813039
Screenshot 2024-09-11 150911.png,2024-09-11,15:09:11,3893273
Screenshot 2024-09-11 151049.png,2024-09-11,15:10:49,3713366
Screenshot 2024-09-11 151055.png,2024-09-11,15:10:55,3779876
Screenshot 2024-09-11 151147.png,2024-09-11,15:11:47,3827485
Screenshot 2024-09-11 151234.png,2024-09-11,15:12:34,3741431
Screenshot 2024-09-11 151329.png,2024-09-11,15:13:29,3691256
Screenshot 2024-09-11 151547.png,2024-09-11,15:15:47,3915646
Screenshot 2024-09-11 151622.png,2024-09-11,15:16:22,3803570
Screenshot 2024-09-11 151629.png,2024-09-11,15:16:29,3830097
Screenshot 2024-09-11 151639.png,2024-09-11,15:16:39,3937735
Screenshot 2024-09-11 151839.png,2024-09-11,15:18:39,4006339
Screenshot 2024-09-11 151843.png,2024-09-11,15:18:43,3995343
Screenshot 2024-09-11 151846.png,2024-09-11,15:18:46,4054288
Screenshot 2024-09-11 151850.png,2024-09-11,15:18:50,3939016
Screenshot 2024-09-11 151855.png,2024-09-11,15:18:55,3910291
Screenshot 2024-09-11 151913.png,2024-09-11,15:19:13,3786539
Screenshot 2024-09-11 151921.png,2024-09-11,15:19:21,3874553
Screenshot 2024-09-11 151929.png,2024-09-11,15:19:29,3876193
Screenshot 2024-09-11 152004.png,2024-09-11,15:20:04,3542161
Screenshot 2024-09-11 153936.png,2024-09-11,15:39:36,3658335
Screenshot 2024-09-11 154647.png,2024-09-11,15:46:47,3859980
Screenshot 2024-09-11 154703.png,2024-09-11,15:47:03,3998663
Screenshot 2024-09-11 154814.png,2024-09-11,15:48:14,3864474
Screenshot 2024-09-11 154821.png,2024-09-11,15:48:21,3881539
Screenshot 2024-09-11 154921.png,2024-09-11,15:49:21,3646567
Screenshot 2024-09-11 154932.png,2024-09-11,15:49:32,3674223
Screenshot 2024-09-11 155007.png,2024-09-11,15:50:07,3748453
Screenshot 2024-09-11 155142.png,2024-09-11,15:51:42,3645079
Screenshot 2024-09-11 155148.png,2024-09-11,15:51:48,3689097
Screenshot 2024-09-11 155210.png,2024-09-11,15:52:10,3721147
Screenshot 2024-09-11 155218.png,2024-09-11,15:52:18,3704914
Screenshot 2024-09-11 155228.png,2024-09-11,15:52:28,3757234
Screenshot 2024-09-11 155234.png,2024-09-11,15:52:34,3722504
Screenshot 2024-09-11 155256.png,2024-09-11,15:52:56,3755441
Screenshot 2024-09-11 155303.png,2024-09-11,15:53:03,3792387
Screenshot 2024-09-11 155309.png,2024-09-11,15:53:09,3754175
Screenshot 2024-09-11 155512.png,2024-09-11,15:55:12,3819782
Screenshot 2024-09-11 155657.png,2024-09-11,15:56:57,3905533
Screenshot 2024-09-11 155712.png,2024-09-11,15:57:12,3621168
Screenshot 2024-09-11 155740.png,2024-09-11,15:57:40,3849926
Screenshot 2024-09-11 155746.png,2024-09-11,15:57:46,3846579
